Date,Adj Close,Close,High,Low,Open,Volume
2024-06-25,2865.232421875,2909.39990234375,2947.0,2891.050048828125,2921.199951171875,1910886
2024-06-26,2808.211669921875,2851.5,2912.949951171875,2844.60009765625,2907.050048828125,3282318
2024-06-27,2845.093017578125,2888.949951171875,2905.0,2793.050048828125,2842.0,6900180
2024-06-28,2823.131591796875,2866.64990234375,2896.0,2855.0,2855.0,2548169
2024-07-01,2832.192138671875,2875.85009765625,2894.050048828125,2838.25,2841.0,1718501
2024-07-02,2821.654052734375,2865.14990234375,2891.0,2850.0,2890.199951171875,1507890
2024-07-03,2834.259765625,2877.949951171875,2895.0,2865.10009765625,2871.0,1019710
2024-07-04,2858.732666015625,2902.800048828125,2922.0,2885.050048828125,2890.0,1502213
2024-07-05,2857.6416015625,2880.60009765625,2886.0,2840.0,2886.0,1966103
2024-07-08,2828.624755859375,2851.35009765625,2918.60009765625,2847.5,2880.60009765625,1631998
2024-07-09,2902.18359375,2925.5,2940.0,2837.25,2855.35009765625,2902129
2024-07-10,2710.225830078125,2732.0,2930.0,2697.89990234375,2930.0,14481615
2024-07-11,2676.54638671875,2698.050048828125,2757.949951171875,2691.0,2757.949951171875,4314565
2024-07-12,2682.3994140625,2703.949951171875,2722.300048828125,2687.14990234375,2689.64990234375,3398732
2024-07-15,2709.283447265625,2731.050048828125,2739.0,2708.10009765625,2722.85009765625,2017720
2024-07-16,2734.778564453125,2756.75,2766.85009765625,2740.0,2754.949951171875,1925983
2024-07-18,2796.978759765625,2819.449951171875,2825.949951171875,2736.5,2756.0,4122844
2024-07-19,2727.387939453125,2749.300048828125,2819.949951171875,2743.0,2819.949951171875,2042568
2024-07-22,2782.39599609375,2804.75,2819.0,2725.0,2751.050048828125,2208103
2024-07-23,2798.86376953125,2821.35009765625,2854.5,2743.39990234375,2824.0,2572524
2024-07-24,2783.14013671875,2805.5,2830.39990234375,2763.64990234375,2823.0,2276082
2024-07-25,2788.992919921875,2811.39990234375,2827.0,2781.800048828125,2799.800048828125,1857122
2024-07-26,2864.7841796875,2887.800048828125,2897.39990234375,2790.0,2821.60009765625,2352661
2024-07-29,2909.623779296875,2933.0,2945.0,2875.5,2900.0,2388937
2024-07-30,2898.810791015625,2922.10009765625,2950.0,2904.60009765625,2945.0,2290006
2024-07-31,2884.624755859375,2907.800048828125,2979.60009765625,2872.949951171875,2937.0,4238740
2024-08-01,2805.857421875,2828.39990234375,2926.5,2820.10009765625,2926.5,4971708
2024-08-02,2727.735107421875,2749.64990234375,2810.300048828125,2733.85009765625,2810.300048828125,3041513
2024-08-05,2657.5986328125,2678.949951171875,2729.199951171875,2635.800048828125,2679.64990234375,3731770
2024-08-06,2611.96533203125,2632.949951171875,2748.75,2625.699951171875,2688.300048828125,3069277
2024-08-07,2659.483642578125,2680.85009765625,2704.75,2661.0,2697.5,2479171
2024-08-08,2661.566650390625,2682.949951171875,2716.5,2656.5,2660.5,2673182
2024-08-09,2727.239013671875,2749.14990234375,2765.0,2705.0,2734.0,2279076
2024-08-12,2695.990234375,2717.64990234375,2757.0,2708.699951171875,2749.14990234375,2321474
2024-08-13,2696.38720703125,2718.050048828125,2738.64990234375,2704.10009765625,2718.10009765625,1292521
2024-08-14,2723.370361328125,2745.25,2771.949951171875,2715.300048828125,2728.800048828125,2609359
2024-08-16,2817.8115234375,2840.449951171875,2845.050048828125,2776.14990234375,2789.0,4376092
2024-08-19,2743.111572265625,2765.14990234375,2859.89990234375,2760.0,2859.89990234375,2500718
2024-08-20,2749.212646484375,2771.300048828125,2783.199951171875,2748.5,2779.75,1762399
2024-08-21,2747.32763671875,2769.39990234375,2780.949951171875,2755.0,2774.0,1497501
2024-08-22,2711.168212890625,2732.949951171875,2775.75,2724.050048828125,2771.10009765625,2346622
2024-08-23,2737.0107421875,2759.0,2769.0,2725.300048828125,2732.949951171875,1943539
2024-08-26,2770.839111328125,2793.10009765625,2799.0,2753.10009765625,2764.949951171875,2765969
2024-08-27,2758.636962890625,2780.800048828125,2800.0,2773.949951171875,2797.949951171875,1604159
2024-08-28,2775.699951171875,2798.0,2827.0,2780.800048828125,2781.89990234375,1851275
2024-08-29,2735.621826171875,2757.60009765625,2801.64990234375,2741.64990234375,2789.35009765625,2237121
2024-08-30,2783.040771484375,2805.39990234375,2821.550048828125,2765.0,2780.0,4895220
2024-09-02,2754.8671875,2777.0,2848.800048828125,2756.5,2848.800048828125,2270687
2024-09-03,2762.65478515625,2784.85009765625,2798.10009765625,2772.60009765625,2780.0,1592710
2024-09-04,2727.685791015625,2749.60009765625,2779.89990234375,2731.10009765625,2761.0,1697000
2024-09-05,2701.39697265625,2723.10009765625,2760.0,2711.89990234375,2756.199951171875,2360312
2024-09-06,2676.59619140625,2698.10009765625,2738.89990234375,2680.10009765625,2723.0,2835519
2024-09-09,2687.260498046875,2708.85009765625,2714.300048828125,2660.050048828125,2688.14990234375,1269082
2024-09-10,2668.560546875,2690.0,2715.0,2677.0,2691.25,2034126
2024-09-11,2633.095458984375,2654.25,2708.0,2644.10009765625,2681.5,2034245
2024-09-12,2719.054931640625,2740.89990234375,2751.60009765625,2635.60009765625,2665.0,3730285
2024-09-13,2717.269287109375,2739.10009765625,2758.550048828125,2711.75,2755.0,2102332
2024-09-16,2735.42333984375,2757.39990234375,2784.300048828125,2732.050048828125,2740.199951171875,1234752
2024-09-17,2765.43212890625,2787.64990234375,2793.5,2745.300048828125,2765.0,1387175
2024-09-18,2785.818603515625,2808.199951171875,2848.0,2777.64990234375,2781.5,2526756
2024-09-19,2775.203857421875,2797.5,2852.0,2792.199951171875,2812.0,2807727
2024-09-20,2927.331787109375,2950.85009765625,2960.0,2798.5,2798.699951171875,12492909
2024-09-23,3025.492919921875,3049.800048828125,3056.89990234375,2956.14990234375,2962.75,3925490
2024-09-24,3049.7978515625,3074.300048828125,3098.550048828125,3020.0,3020.0,3697722
2024-09-25,3066.414306640625,3091.050048828125,3149.0,3034.550048828125,3045.0,4218815
2024-09-26,3155.74658203125,3181.10009765625,3197.199951171875,3045.64990234375,3072.0,4753617
2024-09-27,3158.276123046875,3183.64990234375,3222.10009765625,3152.550048828125,3171.0,6803795
2024-09-30,3070.2333984375,3094.89990234375,3179.0,3087.0,3163.14990234375,3554400
2024-10-01,3140.270751953125,3165.5,3185.449951171875,3095.800048828125,3105.5,4028211
2024-10-03,3104.905029296875,3129.85009765625,3171.0,3072.449951171875,3085.0,3237011
2024-10-04,2993.40087890625,3017.449951171875,3157.60009765625,3009.5,3127.050048828125,4281562
2024-10-07,3035.81005859375,3060.199951171875,3066.949951171875,2982.89990234375,3028.0,2732276
2024-10-08,3140.6181640625,3165.85009765625,3176.89990234375,3066.0,3074.0,6060165
2024-10-09,3127.870361328125,3153.0,3204.300048828125,3145.0,3164.800048828125,2432656
2024-10-10,3168.84130859375,3194.300048828125,3220.300048828125,3155.0,3156.0,2507231
2024-10-11,3109.369140625,3134.35009765625,3210.5,3121.0,3200.0,1652856
2024-10-14,3129.755126953125,3154.89990234375,3174.0,3115.0,3151.0,2425178
2024-10-15,3130.648193359375,3155.800048828125,3192.949951171875,3086.550048828125,3177.0,2245701
2024-10-16,3043.5478515625,3068.0,3147.89990234375,3052.14990234375,3138.0,1972106
2024-10-17,2940.97216796875,2964.60009765625,3065.300048828125,2952.199951171875,3055.0,3622197
2024-10-18,2940.624755859375,2964.25,2988.85009765625,2914.699951171875,2945.35009765625,3407751
2024-10-21,2974.30419921875,2998.199951171875,3001.39990234375,2892.89990234375,2959.75,5059952
2024-10-22,2864.18896484375,2887.199951171875,3008.949951171875,2878.199951171875,3005.0,4195638
2024-10-23,2771.235595703125,2793.5,2924.89990234375,2781.25,2876.14990234375,7913897
2024-10-24,2803.823974609375,2826.35009765625,2842.199951171875,2763.0,2763.0,3992102
2024-10-25,2699.164794921875,2720.85009765625,2825.050048828125,2679.300048828125,2825.0,4532596
2024-10-28,2758.83544921875,2781.0,2834.89990234375,2713.89990234375,2730.0,2813985
2024-10-29,2725.007080078125,2746.89990234375,2797.949951171875,2702.550048828125,2762.0,3156567
2024-10-30,2686.119384765625,2707.699951171875,2755.85009765625,2669.050048828125,2689.25,5677865
2024-10-31,2706.803466796875,2728.550048828125,2752.0,2671.60009765625,2707.699951171875,3833325
2024-11-01,2795.193115234375,2817.64990234375,2840.89990234375,2780.0,2780.0,1061709
2024-11-04,2860.96484375,2883.949951171875,2971.75,2804.5,2804.5,7559263
2024-11-05,2876.34130859375,2899.449951171875,2908.0,2822.10009765625,2875.5,3562624
2024-11-06,2911.16162109375,2934.550048828125,2953.800048828125,2885.39990234375,2910.0,2902347
2024-11-07,2868.305908203125,2891.35009765625,2972.550048828125,2857.949951171875,2971.75,4251557
2024-11-08,2951.18994140625,2974.89990234375,2990.949951171875,2851.25,2910.0,4455563
2024-11-11,2907.2431640625,2930.60009765625,3009.60009765625,2889.050048828125,2962.35009765625,2628672
2024-11-12,2875.448486328125,2898.550048828125,2945.89990234375,2880.0,2931.199951171875,2414528
2024-11-13,2776.642333984375,2798.949951171875,2895.0,2782.89990234375,2876.0,3949602
2024-11-14,2784.826416015625,2807.199951171875,2842.39990234375,2736.25,2815.0,2478112
2024-11-18,2824.2099609375,2846.89990234375,2874.699951171875,2800.050048828125,2844.0,2405351
2024-11-19,2925.44677734375,2948.949951171875,2998.0,2845.0,2845.0,5230405
2024-11-21,2912.847900390625,2936.25,2974.0,2918.0,2962.5,3821808
2024-11-22,2988.9365234375,3012.949951171875,3063.5,2896.699951171875,2944.0,4827125
2024-11-25,3021.32666015625,3045.60009765625,3149.64990234375,3022.39990234375,3075.0,6299837
2024-11-26,2961.40771484375,2985.199951171875,3068.10009765625,2952.5,3053.5,2144702
2024-11-27,2980.851806640625,3004.800048828125,3070.0,2986.050048828125,3025.949951171875,3593911
2024-11-28,2875.59716796875,2898.699951171875,2999.949951171875,2892.0,2995.0,4457143
2024-11-29,2942.460205078125,2966.10009765625,2991.64990234375,2903.0,2903.0,3542836
2024-12-02,2992.359130859375,3016.39990234375,3026.25,2961.89990234375,2984.0,2318823
2024-12-03,3003.17236328125,3027.300048828125,3041.699951171875,2987.64990234375,3041.699951171875,2308865
2024-12-04,3007.5869140625,3031.75,3051.85009765625,3003.0,3003.0,3364025
2024-12-05,3047.119384765625,3071.60009765625,3099.0,3016.050048828125,3049.949951171875,3797063
2024-12-06,3048.508056640625,3073.0,3099.0,3065.949951171875,3075.5,2688767
2024-12-09,3026.931396484375,3051.25,3073.0,3040.0,3063.39990234375,1879542
2024-12-10,3042.45654296875,3066.89990234375,3081.25,3005.300048828125,3047.949951171875,2061909
2024-12-11,3047.565673828125,3072.050048828125,3115.0,3047.800048828125,3052.0,2409385
2024-12-12,3043.002197265625,3067.449951171875,3086.0,3045.0,3084.800048828125,1958999
2024-12-13,3056.841064453125,3081.39990234375,3093.10009765625,3000.0,3051.0,2467964
2024-12-16,3060.263671875,3084.85009765625,3092.14990234375,3040.0,3089.39990234375,2300493
2024-12-17,3017.259033203125,3041.5,3093.75,3028.0,3055.10009765625,2564201
2024-12-18,3026.8818359375,3051.199951171875,3062.0,3024.550048828125,3026.10009765625,2014105
2024-12-19,2990.623046875,3014.64990234375,3045.0,2970.5,3006.0,2372390
2024-12-20,2883.186279296875,2906.35009765625,3025.0,2886.35009765625,3014.64990234375,8046336
2024-12-23,2886.11279296875,2909.300048828125,2942.39990234375,2891.10009765625,2918.0,2142508
2024-12-24,2905.358154296875,2928.699951171875,2950.199951171875,2900.800048828125,2909.39990234375,1858546
2024-12-26,2951.933837890625,2975.64990234375,2984.449951171875,2923.35009765625,2925.0,2162163
2024-12-27,3025.145751953125,3049.449951171875,3064.0,2978.050048828125,2987.199951171875,2290315
2024-12-30,2978.966796875,3002.89990234375,3044.60009765625,2991.050048828125,3028.050048828125,2336275
2024-12-31,2983.13330078125,3007.10009765625,3018.89990234375,2971.199951171875,2994.39990234375,1536411
2025-01-01,3057.436279296875,3082.0,3086.949951171875,2995.199951171875,3007.10009765625,1686613
2025-01-02,3185.507568359375,3211.10009765625,3228.10009765625,3085.050048828125,3100.0,4298090
2025-01-03,3165.121337890625,3190.550048828125,3237.050048828125,3175.699951171875,3215.0,2257218
2025-01-06,3080.947509765625,3105.699951171875,3235.0,3090.10009765625,3209.60009765625,2657204
2025-01-07,3084.072509765625,3108.85009765625,3131.300048828125,3081.75,3110.0,1978328
2025-01-08,3061.503662109375,3086.10009765625,3135.0,3057.0,3135.0,2715102
2025-01-09,3101.581787109375,3126.5,3157.89990234375,3085.35009765625,3103.800048828125,2434207
2025-01-10,3068.199951171875,3092.85009765625,3149.60009765625,3055.0,3110.0,2341303
2025-01-13,2975.74267578125,2999.64990234375,3066.85009765625,2993.449951171875,3053.64990234375,2207294
2025-01-14,3025.1953125,3049.5,3078.449951171875,2999.64990234375,3000.0,2851530
2025-01-15,2936.65673828125,2960.25,3063.949951171875,2951.0,3057.10009765625,2440803
2025-01-16,2956.8447265625,2980.60009765625,2997.39990234375,2945.0,2978.14990234375,2598449
2025-01-17,2894.0986328125,2917.35009765625,2970.35009765625,2903.10009765625,2969.949951171875,2002830
2025-01-20,2865.081787109375,2888.10009765625,2935.949951171875,2877.300048828125,2910.0,2905527
2025-01-21,2798.814208984375,2821.300048828125,2907.0,2808.89990234375,2900.10009765625,3381309
2025-01-22,2803.923095703125,2826.449951171875,2851.89990234375,2805.85009765625,2848.0,3133157
2025-01-23,2863.44482421875,2886.449951171875,2899.39990234375,2810.0,2826.449951171875,2650506
2025-01-24,2779.07275390625,2801.39990234375,2896.0,2790.0,2875.0,2665366
2025-01-27,2809.0322265625,2831.60009765625,2846.89990234375,2754.14990234375,2772.300048828125,2022141
2025-01-28,2847.721435546875,2870.60009765625,2925.0,2784.0,2835.0,2432787
2025-01-29,2901.04296875,2924.35009765625,2933.5,2856.300048828125,2883.949951171875,1808565
2025-01-30,2947.767333984375,2971.449951171875,3008.89990234375,2919.0,2924.35009765625,3055352
2025-01-31,2966.02099609375,2989.85009765625,3049.85009765625,2955.10009765625,2970.0,2412370
2025-02-01,3052.228271484375,3076.75,3098.949951171875,2990.0,2990.0,2674573
2025-02-03,3148.0087890625,3173.300048828125,3187.949951171875,3044.75,3056.60009765625,3664084
2025-02-04,3163.63330078125,3189.050048828125,3270.550048828125,3137.85009765625,3225.0,3862456
2025-02-05,3153.415283203125,3178.75,3218.64990234375,3142.0,3189.050048828125,2264208
2025-02-06,3114.924560546875,3139.949951171875,3180.85009765625,3121.25,3170.0,2341341
2025-02-07,3172.958251953125,3198.449951171875,3219.949951171875,3110.0,3168.0,4790111
2025-02-10,3112.24609375,3137.25,3270.949951171875,3128.800048828125,3209.199951171875,3852783
2025-02-11,3061.354736328125,3085.949951171875,3154.0,3071.10009765625,3146.85009765625,2470280
2025-02-12,2963.391845703125,2987.199951171875,3075.0,2955.10009765625,3068.550048828125,4609887
2025-02-13,2954.26513671875,2978.0,3047.0,2971.050048828125,3024.949951171875,2481783
2025-02-14,2919.1474609375,2942.60009765625,3020.0,2907.050048828125,2999.0,1959802
2025-02-17,2809.379150390625,2831.949951171875,2955.0,2792.25,2940.800048828125,4773279
2025-02-18,2767.813232421875,2790.050048828125,2845.0,2755.89990234375,2844.0,2301836
2025-02-19,2735.42333984375,2757.39990234375,2782.64990234375,2728.0,2750.0,2671072
2025-02-20,2816.8193359375,2839.449951171875,2844.5,2690.050048828125,2745.10009765625,3799854
2025-02-21,2648.0751953125,2669.35009765625,2815.199951171875,2653.35009765625,2815.199951171875,8940621
2025-02-24,2687.607421875,2709.199951171875,2716.800048828125,2631.14990234375,2669.0,6167313
2025-02-25,2755.71044921875,2777.85009765625,2803.949951171875,2728.14990234375,2740.0,4916248
2025-02-27,2704.8193359375,2726.550048828125,2840.0,2703.5,2837.0,2669767
2025-02-28,2564.496826171875,2585.10009765625,2699.0,2572.199951171875,2695.10009765625,7549863
2025-03-03,2591.0830078125,2611.89990234375,2695.949951171875,2595.0,2613.800048828125,4340806
2025-03-04,2592.521484375,2613.35009765625,2627.300048828125,2550.0,2561.0,1984876
2025-03-05,2704.868896484375,2726.60009765625,2736.89990234375,2642.64990234375,2661.949951171875,3665710
2025-03-06,2720.54296875,2742.39990234375,2766.85009765625,2695.0,2748.0,3706264
2025-03-07,2706.109130859375,2727.85009765625,2765.949951171875,2708.10009765625,2721.300048828125,1886774
2025-03-10,2681.060302734375,2702.60009765625,2734.64990234375,2665.10009765625,2695.0,2520931
2025-03-11,2624.5146484375,2645.60009765625,2685.0,2613.14990234375,2684.75,3616140
2025-03-12,2632.153076171875,2653.300048828125,2678.0,2636.10009765625,2645.60009765625,3447155
2025-03-13,2622.43115234375,2643.5,2686.35009765625,2618.300048828125,2677.10009765625,2446428
2025-03-17,2683.58984375,2705.14990234375,2727.050048828125,2635.0,2635.0,2527623
2025-03-18,2683.58984375,2705.14990234375,2705.14990234375,2705.14990234375,2705.14990234375,0
2025-03-19,2766.870849609375,2789.10009765625,2831.89990234375,2779.550048828125,2795.0,2438912
2025-03-20,2805.56005859375,2828.10009765625,2847.0,2801.0,2803.75,2354374
2025-03-21,2779.519287109375,2801.85009765625,2893.0,2781.25,2839.10009765625,3824316
2025-03-24,2752.58544921875,2774.699951171875,2822.14990234375,2709.39990234375,2815.300048828125,5395134
2025-03-25,2714.194091796875,2736.0,2802.449951171875,2725.050048828125,2774.699951171875,3576766
2025-03-26,2720.394287109375,2742.25,2795.0,2737.050048828125,2751.300048828125,3111504
2025-03-27,2711.2177734375,2733.0,2751.0,2695.550048828125,2735.0,4325599
2025-03-28,2644.553466796875,2665.800048828125,2739.699951171875,2635.0,2735.800048828125,6074446
2025-04-01,2616.875732421875,2637.89990234375,2728.0,2623.14990234375,2652.800048828125,3300417
2025-04-02,2616.528564453125,2637.550048828125,2660.0,2625.300048828125,2631.10009765625,2243574
2025-04-03,2590.63671875,2611.449951171875,2652.39990234375,2600.25,2607.75,2361203
2025-04-04,2575.85546875,2596.550048828125,2631.5,2557.050048828125,2614.949951171875,3598415
2025-04-07,2471.39453125,2491.25,2524.64990234375,2425.0,2425.0,3937471
